x_pos, y_pos, orientation, steering_angle, speed
34.7047, -1.03434, 1.03094, 0.62, 0.59
34.7611, -0.844207, 1.0715, 0.58, 0.42
35.2623, -1.55676, 1.09561, 0.68, 0.56
35.381, -1.69181, 1.06908, 0.63, 0.83
34.2262, -2.02152, 1.10263, 0.65, 2.01
34.1654, -1.66271, 1.20496, 0.62, 1.19
34.5202, -2.58808, 1.29491, 0.59, 1.66
35.2207, -1.68641, 1.45486, 0.67, 1.18
35.227, -1.44963, 1.6194, 0.66, 2.46
35.5249, -1.25946, 1.88809, 0.67, 2.09
35.7918, -0.614755, 2.00081, 0.65, 2.1
35.8353, 0.211462, 2.32848, 0.7, 3.05
34.9828, -0.381778, 2.55368, 0.66, 3.46
35.3395, -0.237861, 2.78974, 0.7, 2.85
34.2018, 0.291443, 3.03578, 0.74, 3.47
33.7744, -0.166365, -2.83921, 0.68, 3.62
33.9036, 0.238664, -2.51944, 0.67, 3.43
34.065, 0.141363, -2.23394, 0.63, 3.92
32.5748, 0.456412, -1.9028, 0.59, 3.74
33.5352, 0.461035, -1.66342, 0.64, 4.33
32.6697, -0.105931, -1.2884, 0.65, 3.97
32.9815, -0.368765, -0.959421, 0.57, 3.72
33.3292, -0.812294, -0.680978, 0.6, 3.69
34.5104, -1.44827, -0.364421, 0.68, 3.77
34.0199, -1.26824, 0.0212136, 0.65, 3.45
33.9396, -0.890188, 0.252564, 0.65, 2.71
34.37, -0.799673, 0.540225, 0.63, 3.3
34.1168, -0.405229, 0.75616, 0.71, 2.91
34.6164, 0.292258, 1.03246, 0.7, 3.49
34.8732, 1.21508, 1.30399, 0.65, 2.77
34.2215, 0.34239, 1.62304, 0.68, 2.63
34.8983, 0.665449, 1.80778, 0.73, 3.01
33.764, 1.17712, 2.12322, 0.77, 2.94
34.2507, 1.06346, 2.33608, 0.81, 3.72
34.1157, 1.2955, 2.75719, 0.79, 2.36
33.8208, 1.57032, 3.09533, 0.73, 2.76
33.6044, 1.9975, -2.97741, 0.75, 2.75
33.67, 1.6646, -2.70122, 0.64, 2.49
33.8929, 1.5978, -2.51773, 0.69, 1.66
33.5326, 1.91685, -2.43033, 0.75, 1.55
33.2678, 1.09511, -2.28169, 0.69, 1.65
32.9657, 0.911867, -2.10044, 0.69, 1.74
32.8209, 1.93245, -1.97246, 0.73, 1.93
32.1161, 1.28859, -1.78694, 0.73, 1.79
31.6167, 1.24692, -1.64055, 0.78, 1.5
31.3329, 1.29519, -1.45253, 0.7, 0.98
31.8326, 1.47108, -1.41499, 0.72, 1.72
31.0338, 0.932166, -1.18219, 0.61, 1.37
31.3687, 0.454176, -1.0813, 0.67, 0.65
31.3558, -0.179743, -0.886242, 0.79, 0.85
32.1288, -0.265779, -0.787395, 0.75, 0.77
32.8952, 0.381998, -0.679351, 0.84, 0.71
31.8431, 0.532634, -0.659825, 0.75, -0.16
32.0652, 0.157222, -0.662432, 0.72, 0.38
31.2296, 0.145076, -0.618895, 0.65, 0.62
31.2402, -0.333891, -0.53785, 0.73, -0.03
31.6456, -0.267937, -0.50071, 0.61, -0.29
30.3909, 0.644606, -0.44605, 0.6, -0.55
30.7135, 0.64234, -0.370979, -0.7, -0.24
30.2834, 0.681159, -0.422007, -0.64, 0.07
30.4975, -0.17276, -0.308235, -0.7, -0.47
29.8889, -0.318998, -0.392879, -0.67, -0.01
29.8799, 0.661909, -0.393273, -0.76, 0.3
30.293, 0.917113, -0.347477, -0.76, 0.27
30.4887, 0.555223, -0.254205, -0.77, -0.31
30.1603, 0.506461, -0.321109, -0.72, -0.03
29.8819, 1.00765, -0.342128, -0.73, -0.15
30.9405, 0.334857, -0.270215, -0.64, -0.2
30.9258, 0.154665, -0.168525, -0.67, -0.54
